OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
,0,0,HU0,0,1,6,C,1000,0.5,0.5,,50,1.368913301,0.170420198,1.078186244,1.0,20.3,58.3,21.3,0,0.16,0.01,0,150,1.36020724,0.175370531,1.111193033,1.0,20.6,61.6,17.8,0,0.16,0.01,0,300,1.344753768,0.174877683,0.942158344,0.8,22.6,60.7,16.7,0.0,0.16,0.01,0.0,600,1.318974892,0.171983115,0.665379807,0.4,26.7,57.0,16.3,0.0,0.16,0.01,0.0,1000,1.301863148,0.172333977,0.564602816,0.2,29.3,54.7,14.5,0.0,0.16,0.01,0.0,2000,1.290135295,0.167729767,0.440680098,0.2,32.4,50.0,16.1,0.0,0.16,0.190052943,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,30,30,HU30,30,1,6,C,1000,0.5,0.5,,50,1.342261707,0.180739449,1.094293442,0.9,21.7,65.8,12.5,0,0.16,0.01,0,150,1.350187892,0.183114129,1.266347966,0.8,20.3,68.3,11.5,0,0.16,0.01,0,300,1.333419176,0.181767256,1.050031324,0.7,22.5,66.8,10.7,0.0,0.16,0.01,0.0,600,1.304998285,0.17907238,0.736618228,0.3,27.0,63.1,9.8,0.0,0.16,0.01,0.0,1000,1.30329057,0.182324439,0.848221837,0.2,26.1,66.2,6.3,0.0,0.16,0.01,0.0,2000,1.292229661,0.179431233,0.674585432,0.2,28.7,61.8,7.9,0.0,0.16,0.213720784,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,110,110,HU110,110,1,6,C,1000,0.5,0.5,,50,1.371087767,0.170004991,1.091988613,1.2,20.1,58.1,21.7,0,0.09,0.01,0,150,1.356878794,0.17422231,1.045316915,1.1,21.2,60.7,18.2,0,0.09,0.01,0,300,1.33949238,0.173705031,0.865044791,0.9,23.5,59.5,17.0,0.0,0.09,0.01,0.0,600,1.323804591,0.172621614,0.712810967,0.5,25.9,57.8,16.3,0.0,0.09,0.01,0.0,1000,1.304946615,0.17260771,0.587033605,0.2,28.8,55.1,14.6,0.0,0.09,0.01,0.0,2000,1.297493197,0.168717389,0.486266478,0.2,30.9,51.3,16.3,0.0,0.09,0.225986809,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,120,120,HU120,120,1,6,C,1000,0.5,0.5,,50,1.362674024,0.174209318,1.106114705,0.9,20.5,60.8,18.7,0,0.23,0.01,0,150,1.350049671,0.177458048,1.0651774,0.9,21.4,63.0,15.6,0,0.23,0.01,0,300,1.333811379,0.176683306,0.889595628,0.7,23.6,61.8,14.6,0.0,0.23,0.01,0.0,600,1.311578534,0.176653134,0.714645861,0.4,26.7,60.8,12.5,0.0,0.23,0.01,0.0,1000,1.307466863,0.176507322,0.683651895,0.2,27.4,58.9,12.2,0.0,0.23,0.01,0.0,2000,1.301216911,0.172399086,0.562159362,0.2,29.4,54.7,14.4,0.0,0.23,0.2103489,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,130,130,HU130,130,1,6,B,1000,0.5,0.5,,50,1.385976207,0.166157653,1.170870715,1.2,19.0,56.1,24.9,0,0.16,0.01,0,150,1.366234879,0.1725628,1.101823743,1.1,20.3,59.8,19.9,0,0.16,0.01,0,300,1.348621035,0.170817223,0.882867,0.9,22.8,57.7,19.5,0.0,0.16,0.01,0.0,600,1.321466281,0.173113039,0.705592703,0.5,26.1,58.1,15.8,0.0,0.16,0.01,0.0,1000,1.307917197,0.169376214,0.55057962,0.3,29.0,52.6,16.9,0.0,0.16,0.011749943,0.0,2000,1.29939546,0.16469533,0.445038323,0.2,31.5,48.3,18.7,0.0,0.16,0.234272373,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,132,132,HU132,132,1,6,B,1000,0.5,0.5,,50,1.383329276,0.170154967,1.23536334,1.1,18.7,58.6,22.6,0,0.09,0.01,0,150,1.374621609,0.177563538,1.338737355,1.0,18.6,63.6,17.7,0,0.09,0.01,0,300,1.352673596,0.176995109,1.078324677,0.8,21.2,62.7,16.1,0.0,0.09,0.01,0.0,600,1.33821139,0.171449069,0.803690684,0.5,24.1,57.7,18.3,0.0,0.09,0.01,0.0,1000,1.329621481,0.172306806,0.751045967,0.2,25.1,56.4,17.0,0.0,0.09,0.01,0.0,2000,1.304586636,0.160738434,0.425882374,0.2,31.4,46.0,21.2,0.0,0.09,0.199736811,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,150,150,HU150,150,1,6,C,1000,0.5,0.5,,50,1.35537912,0.171369693,0.960127501,1.1,21.8,58.5,19.7,0,0.23,0.01,0,150,1.344598072,0.174098167,0.921154117,1.0,22.7,60.1,17.2,0,0.23,0.01,0,300,1.32987934,0.175726391,0.831048831,0.8,24.4,60.8,14.9,0.0,0.23,0.01,0.0,600,1.329831042,0.170748677,0.721491588,0.4,25.4,56.6,18.0,0.0,0.23,0.01,0.0,1000,1.302961191,0.175734269,0.637648063,0.2,28.3,57.9,12.3,0.0,0.23,0.01,0.0,2000,1.300704755,0.173564511,0.580332911,0.2,29.2,55.8,13.6,0.0,0.23,0.190170146,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,160,160,HU160,160,1,6,B,1000,0.5,0.5,,50,1.361124474,0.179715687,1.254533866,1.0,19.7,65.2,15.1,0,0.23,0.01,0,150,1.343508304,0.178853204,1.042936673,0.9,21.9,64.1,14.0,0,0.23,0.01,0,300,1.317352438,0.176897181,0.761979168,0.7,25.8,61.3,12.9,0.0,0.23,0.01,0.0,600,1.305582335,0.176066495,0.661256774,0.4,27.8,59.9,12.3,0.0,0.23,0.01,0.0,1000,1.260993901,0.173938545,0.433676265,0.2,35.6,55.3,8.0,0.0,0.23,0.01,0.0,2000,1.283478157,0.178571747,0.608164886,0.2,30.3,60.3,7.4,0.0,0.23,0.205281883,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,300,300,HU300,300,1,6,C,1000,0.5,0.5,,50,1.345512603,0.175901553,0.976281925,1.1,22.3,61.6,16.2,0,0.16,0.01,0,150,1.34296804,0.179405163,1.055453416,1.1,21.9,64.6,13.5,0,0.16,0.01,0,300,1.323894925,0.178113988,0.8457076,0.9,24.6,62.7,12.6,0.0,0.16,0.01,0.0,600,1.30334292,0.178078446,0.697611286,0.5,27.6,62.0,10.5,0.0,0.16,0.01,0.0,1000,1.306406437,0.176267824,0.671148466,0.3,27.6,58.7,12.2,0.0,0.16,0.01,0.0,2000,1.305260093,0.170261314,0.549301409,0.2,29.3,53.1,16.1,0.0,0.16,0.236033835,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,310,310,HU310,310,1,6,C,1000,0.5,0.5,,50,1.349694858,0.180207007,1.149699083,1.1,20.9,65.4,13.6,0,0.09,0.01,0,150,1.349887205,0.182717614,1.246643293,1.0,20.4,67.9,11.7,0,0.09,0.01,0,300,1.329581166,0.181133239,0.992010642,0.8,23.2,66.0,10.8,0.0,0.09,0.01,0.0,600,1.300767012,0.179857716,0.735370422,0.4,27.4,64.0,8.6,0.0,0.09,0.01,0.0,1000,1.325966851,0.181548233,0.976985972,0.3,23.5,64.9,10.1,0.0,0.09,0.01,0.0,2000,1.31997755,0.174157156,0.716765562,0.2,26.1,57.4,15.0,0.0,0.09,0.232659407,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,320,320,HU320,320,1,6,C,1000,0.5,0.5,,50,1.364969855,0.169441636,1.013498132,1.1,20.9,57.5,21.6,0,0.09,0.01,0,150,1.356206021,0.175573832,1.074580221,1.0,21.0,61.7,17.3,0,0.09,0.01,0,300,1.340132727,0.17470543,0.8949771,0.8,23.2,60.4,16.5,0.0,0.09,0.01,0.0,600,1.314289491,0.173373057,0.660401895,0.4,27.1,57.9,15.0,0.0,0.09,0.01,0.0,1000,1.306636691,0.171260269,0.573443768,0.2,28.8,54.1,15.6,0.0,0.09,0.010483093,0.0,2000,1.298639741,0.165346636,0.44912897,0.2,31.5,48.7,18.3,0.0,0.09,0.215238373,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,330,330,HU330,330,1,6,C,1000,0.5,0.5,,50,1.346215609,0.17546617,0.971427732,1.1,22.3,61.2,16.5,0,0.09,0.01,0,150,1.342281673,0.179649517,1.056861769,1.0,21.9,64.8,13.3,0,0.09,0.01,0,300,1.326717249,0.178819718,0.889807806,0.8,24.1,63.5,12.4,0.0,0.09,0.01,0.0,600,1.303218374,0.179288536,0.732012483,0.5,27.2,63.4,9.4,0.0,0.09,0.01,0.0,1000,1.312635585,0.177467449,0.742794758,0.3,26.4,60.1,12.0,0.0,0.09,0.01,0.0,2000,1.30224848,0.169629243,0.523231873,0.2,29.9,52.4,16.2,0.0,0.09,0.24303901,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,370,370,HU370,370,1,6,C,1000,0.5,0.5,,50,1.369787241,0.171902675,1.124075164,1.0,20.0,59.4,20.6,0,0.16,0.01,0,150,1.357953733,0.177239943,1.140925204,1.0,20.5,63.0,16.4,0,0.16,0.01,0,300,1.343872335,0.176668379,0.981560916,0.8,22.3,62.1,15.5,0.0,0.16,0.01,0.0,600,1.31455417,0.176104711,0.722044822,0.4,26.4,60.4,13.2,0.0,0.16,0.01,0.0,1000,1.318672951,0.175366347,0.734337157,0.3,26.0,58.4,14.1,0.0,0.16,0.01,0.0,2000,1.299583601,0.167961569,0.486184428,0.2,30.7,50.8,16.9,0.0,0.16,0.22709087,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,380,380,HU380,380,1,6,C,1000,0.5,0.5,,50,1.350626649,0.169452587,0.87235587,1.2,22.7,56.9,20.4,0,0.16,0.01,0,150,1.33254165,0.171434822,0.756444728,1.2,24.9,57.3,17.8,0,0.16,0.01,0,300,1.32145938,0.17098549,0.664100823,0.9,26.6,56.3,17.1,0.0,0.16,0.01,0.0,600,1.316187659,0.172842497,0.662767056,0.6,27.0,57.5,15.5,0.0,0.16,0.01,0.0,1000,1.279722766,0.169405298,0.421661299,0.4,33.8,50.7,13.9,0.0,0.16,0.012917547,0.0,2000,1.260438935,0.166363984,0.336873517,0.3,38.2,47.1,13.1,0.0,0.16,0.270432274,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,390,390,HU390,390,1,6,C,1000,0.5,0.5,,50,1.372449413,0.169166672,1.08717808,1.4,20.1,57.6,22.3,0,0.16,0.01,0,150,1.356829009,0.173144321,1.017314165,1.3,21.3,59.8,18.8,0,0.16,0.01,0,300,1.341159062,0.171738693,0.835400071,1.1,23.6,58.1,18.3,0.0,0.16,0.01,0.0,600,1.319491954,0.173356173,0.696285996,0.6,26.4,58.1,15.5,0.0,0.16,0.01,0.0,1000,1.306508261,0.169130202,0.53889756,0.3,29.3,52.2,16.9,0.0,0.16,0.011989098,0.0,2000,1.285825521,0.162881148,0.372873937,0.3,34.4,45.8,18.3,0.0,0.16,0.262018837,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,400,400,HU400,400,1,6,C,1000,0.5,0.5,,50,1.370869065,0.169983983,1.089095785,1.0,20.2,58.1,21.7,0,0.02,0.01,0,150,1.354134204,0.173288524,0.99362973,0.9,21.7,59.8,18.5,0,0.02,0.01,0,300,1.335914292,0.17344555,0.827747119,0.7,24.0,59.1,16.9,0.0,0.02,0.01,0.0,600,1.317530433,0.172723411,0.669675817,0.4,26.8,57.5,15.7,0.0,0.02,0.01,0.0,1000,1.300274402,0.172229431,0.554089544,0.2,29.6,54.5,14.4,0.0,0.02,0.010046546,0.0,2000,1.303908949,0.171207638,0.556971509,0.2,29.3,53.8,15.4,0.0,0.02,0.200856744,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,401,401,ZPP401,401,1,4,C,1000,0.5,0.5,,70,1.428751603,0.133721434,1.048279983,2.6,18,38.8,43.2,0,0.16,0.02205,0,450,1.426061482,0.1363471,1.062584864,1.7,18,40.2,41.8,0,0.16,0.021,0,800,1.400440045,0.130917202,0.715363148,0.3,21.6,36,42.4,0,0.16,0.02388,0,1000,1.419466122,0.13202899,0.916035094,0.3,19.2,37.5,43.3,0,0.16,0.02637525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,447,447,ZPP447,447,1,3,D,1000,0.5,0.5,,220,1.546653813,0.085430629,1.88187603,1.9,12.6,10.1,77.3,0,0.16,0.04398,0,500,1.537452668,0.088193915,1.76071955,0.9,13,12.1,74.9,0,0.16,0.0488175,0,800,1.473511428,0.090306025,0.815233777,0.9,18.6,12.4,69,10,0.23,0.04807575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
